Date,Adj Close
2020-01-02,54.845001220703125
2020-01-03,54.67499923706055
2020-01-06,56.497501373291016
2020-01-07,57.86249923706055
2020-01-08,58.307498931884766
2020-01-09,59.817501068115234
2020-01-10,59.32500076293945
2020-01-13,58.959999084472656
2020-01-14,58.76499938964844
2020-01-15,58.584999084472656
2020-01-16,58.602500915527344
2020-01-17,57.6974983215332
2020-01-21,57.904998779296875
2020-01-22,58.912498474121094
2020-01-23,58.900001525878906
2020-01-24,58.48500061035156
2020-01-27,58.86249923706055
2020-01-28,58.73500061035156
2020-01-29,59.6349983215332
2020-01-30,59.73249816894531
2020-01-31,60.1875
2020-02-03,59.272499084472656
2020-02-04,60.92499923706055
2020-02-05,59.6349983215332
2020-02-06,59.75
2020-02-07,60.05500030517578
2020-02-10,61.72999954223633
2020-02-11,61.97999954223633
2020-02-12,61.5
2020-02-13,63.0525016784668
2020-02-14,70.97750091552734
2020-02-18,74.0
2020-02-19,72.91999816894531
2020-02-20,75.62750244140625
2020-02-21,72.8125
2020-02-24,73.51249694824219
2020-02-25,70.98999786376953
2020-02-26,69.5625
2020-02-27,70.37000274658203
2020-02-28,69.0
2020-03-02,71.43250274658203
2020-03-03,68.22000122070312
2020-03-04,70.96749877929688
2020-03-05,71.74250030517578
2020-03-06,71.63999938964844
2020-03-09,66.62999725341797
2020-03-10,69.79499816894531
2020-03-11,63.10499954223633
2020-03-12,61.90999984741211
2020-03-13,61.005001068115234
2020-03-16,50.57500076293945
2020-03-17,49.685001373291016
2020-03-18,47.790000915527344
2020-03-19,51.560001373291016
2020-03-20,52.375
2020-03-23,52.57500076293945
2020-03-24,59.0525016784668
2020-03-25,59.83250045776367
2020-03-26,62.5525016784668
2020-03-27,65.73999786376953
2020-03-30,69.5
2020-03-31,67.31749725341797
2020-04-01,63.70249938964844
2020-04-02,66.59500122070312
2020-04-03,65.1875
2020-04-06,67.32749938964844
2020-04-07,62.6775016784668
2020-04-08,64.50250244140625
2020-04-09,68.81749725341797
2020-04-13,68.31500244140625
2020-04-14,70.1675033569336
2020-04-15,72.92250061035156
2020-04-16,76.56749725341797
2020-04-17,80.8499984741211
2020-04-20,80.81749725341797
2020-04-21,77.09750366210938
2020-04-22,80.15750122070312
2020-04-23,80.51000213623047
2020-04-24,83.11000061035156
2020-04-27,83.76249694824219
2020-04-28,78.38249969482422
2020-04-29,86.36750030517578
