Date,Adj Close
2020-01-02,373.3500061035156
2020-01-03,369.1600036621094
2020-01-06,371.739990234375
2020-01-07,373.1300048828125
2020-01-08,382.4200134277344
2020-01-09,383.4700012207031
2020-01-10,381.4100036621094
2020-01-13,378.92999267578125
2020-01-14,387.6199951171875
2020-01-15,390.75
2020-01-16,385.57000732421875
2020-01-17,385.94000244140625
2020-01-21,363.7099914550781
2020-01-22,359.1400146484375
2020-01-23,356.6000061035156
2020-01-24,345.2799987792969
2020-01-27,339.4200134277344
2020-01-28,344.0799865722656
2020-01-29,339.25
2020-01-30,336.17999267578125
2020-01-31,337.94000244140625
2020-02-03,341.1199951171875
2020-02-04,356.0
2020-02-05,372.1600036621094
2020-02-06,389.8500061035156
2020-02-07,381.8699951171875
2020-02-10,386.2099914550781
2020-02-11,396.75
2020-02-12,406.29998779296875
2020-02-13,398.80999755859375
2020-02-14,399.54998779296875
2020-02-18,397.6499938964844
2020-02-19,400.80999755859375
2020-02-20,399.1400146484375
2020-02-21,403.1499938964844
2020-02-24,425.3800048828125
2020-02-25,442.3500061035156
2020-02-26,457.9200134277344
2020-02-27,431.6099853515625
2020-02-28,444.57000732421875
2020-03-02,464.75
2020-03-03,461.54998779296875
2020-03-04,493.4800109863281
2020-03-05,488.1700134277344
2020-03-06,494.42999267578125
2020-03-09,474.44000244140625
2020-03-10,475.0199890136719
2020-03-11,464.70001220703125
2020-03-12,431.8900146484375
2020-03-13,465.54998779296875
2020-03-16,440.8299865722656
2020-03-17,491.69000244140625
2020-03-18,485.0
2020-03-19,489.8299865722656
2020-03-20,438.45001220703125
2020-03-23,455.6300048828125
2020-03-24,449.5299987792969
2020-03-25,429.7799987792969
2020-03-26,452.29998779296875
2020-03-27,449.5199890136719
2020-03-30,473.0
2020-03-31,488.2900085449219
2020-04-01,496.6499938964844
2020-04-02,498.75
2020-04-03,493.32000732421875
2020-04-06,504.2699890136719
2020-04-07,501.510009765625
2020-04-08,512.3300170898438
2020-04-09,512.9600219726562
