Date,Adj Close
2020-01-02,0.9300000071525574
2020-01-03,0.9100000262260437
2020-01-06,0.8999999761581421
2020-01-07,0.8899999856948853
2020-01-08,0.9100000262260437
2020-01-09,0.8999999761581421
2020-01-10,0.8999999761581421
2020-01-13,0.8999999761581421
2020-01-14,0.8899999856948853
2020-01-15,0.8799999952316284
2020-01-16,0.8899999856948853
2020-01-17,0.8700000047683716
2020-01-21,0.8500000238418579
2020-01-22,0.8399999737739563
2020-01-23,0.8299999833106995
2020-01-24,0.8299999833106995
2020-01-27,0.8199999928474426
2020-01-28,0.7799999713897705
2020-01-29,0.800000011920929
2020-01-30,0.8100000023841858
2020-01-31,0.8299999833106995
2020-02-03,0.8899999856948853
2020-02-04,0.8700000047683716
2020-02-05,0.8600000143051147
2020-02-06,0.8500000238418579
2020-02-07,0.8700000047683716
2020-02-10,0.8500000238418579
2020-02-11,0.8700000047683716
2020-02-12,0.9200000166893005
2020-02-13,0.9399999976158142
2020-02-14,0.8899999856948853
2020-02-18,0.8700000047683716
2020-02-19,0.8700000047683716
2020-02-20,0.8700000047683716
2020-02-21,0.8399999737739563
2020-02-24,0.7799999713897705
2020-02-25,0.7300000190734863
2020-02-26,0.7200000286102295
2020-02-27,0.6800000071525574
2020-02-28,0.6000000238418579
2020-03-02,0.6200000047683716
2020-03-03,0.6399999856948853
2020-03-04,0.7200000286102295
2020-03-05,0.6700000166893005
2020-03-06,0.6000000238418579
2020-03-09,0.5400000214576721
2020-03-10,0.5799999833106995
2020-03-11,0.5099999904632568
2020-03-12,0.3799999952316284
2020-03-13,0.5199999809265137
2020-03-16,0.46000000834465027
2020-03-17,0.6000000238418579
2020-03-18,0.47999998927116394
2020-03-19,0.5699999928474426
2020-03-20,0.5699999928474426
2020-03-23,0.49000000953674316
2020-03-24,0.5699999928474426
2020-03-25,0.5799999833106995
2020-03-26,0.5699999928474426
2020-03-27,0.5099999904632568
2020-03-30,0.5299999713897705
2020-03-31,0.5600000023841858
2020-04-01,0.5699999928474426
2020-04-02,0.5600000023841858
2020-04-03,0.550000011920929
2020-04-06,0.5899999737739563
2020-04-07,0.6399999856948853
2020-04-08,0.6499999761581421
2020-04-09,0.6600000262260437
2020-04-13,0.6600000262260437
2020-04-14,0.7900000214576721
2020-04-15,0.7799999713897705
2020-04-16,0.7699999809265137
2020-04-17,0.8299999833106995
2020-04-20,0.9399999976158142
2020-04-21,0.8700000047683716
2020-04-22,0.9800000190734863
2020-04-23,1.0800000429153442
2020-04-24,1.1100000143051147
2020-04-27,1.100000023841858
2020-04-28,1.1100000143051147
2020-04-29,1.1799999475479126
2020-04-30,1.100000023841858
2020-05-01,1.1399999856948853
2020-05-04,1.1200000047683716
2020-05-05,1.1299999952316284
2020-05-06,1.100000023841858
2020-05-07,1.1399999856948853
2020-05-08,1.2300000190734863
2020-05-11,1.2000000476837158
2020-05-12,1.100000023841858
2020-05-13,1.0299999713897705
2020-05-14,1.0299999713897705
2020-05-15,1.0399999618530273
2020-05-18,1.090000033378601
2020-05-19,1.100000023841858
2020-05-20,1.1299999952316284
2020-05-21,1.100000023841858
2020-05-22,1.100000023841858
2020-05-26,1.059999942779541
2020-05-27,1.0700000524520874
2020-05-28,1.0399999618530273
2020-05-29,1.0499999523162842
2020-06-01,1.0199999809265137
2020-06-02,1.0199999809265137
2020-06-03,1.0
2020-06-04,1.0199999809265137
2020-06-05,1.0499999523162842
2020-06-08,1.0399999618530273
2020-06-09,1.0499999523162842
2020-06-10,1.0199999809265137
2020-06-11,0.9800000190734863
2020-06-12,1.0
2020-06-15,0.9900000095367432
2020-06-16,1.0
2020-06-17,0.9800000190734863
2020-06-18,0.9599999785423279
2020-06-19,0.9399999976158142
