Date,Adj Close
2020-01-02,57.849998474121094
2020-01-03,57.220001220703125
2020-01-06,57.349998474121094
2020-01-07,58.779998779296875
2020-01-08,60.02000045776367
2020-01-09,62.5
2020-01-10,62.52000045776367
2020-01-13,62.19499969482422
2020-01-14,62.130001068115234
2020-01-15,65.37999725341797
2020-01-16,67.16999816894531
2020-01-17,69.4000015258789
2020-01-21,66.56999969482422
2020-01-22,66.73999786376953
2020-01-23,66.16000366210938
2020-01-24,66.25
2020-01-27,65.41999816894531
2020-01-28,65.4000015258789
2020-01-29,65.0199966430664
2020-01-30,63.88999938964844
2020-01-31,62.630001068115234
2020-02-03,65.30999755859375
2020-02-04,67.01000213623047
2020-02-05,67.16000366210938
2020-02-06,67.5
2020-02-07,66.97000122070312
2020-02-10,69.31999969482422
2020-02-11,68.83999633789062
2020-02-12,69.38999938964844
2020-02-13,58.439998626708984
2020-02-14,55.540000915527344
2020-02-18,54.869998931884766
2020-02-19,55.119998931884766
2020-02-20,55.810001373291016
2020-02-21,55.099998474121094
2020-02-24,53.83000183105469
2020-02-25,53.849998474121094
2020-02-26,54.43000030517578
2020-02-27,51.18000030517578
2020-02-28,53.2400016784668
2020-03-02,57.02000045776367
2020-03-03,56.040000915527344
2020-03-04,57.650001525878906
2020-03-05,55.0
2020-03-06,52.43000030517578
2020-03-09,47.189998626708984
2020-03-10,49.9900016784668
2020-03-11,44.41999816894531
2020-03-12,39.41999816894531
2020-03-13,41.540000915527344
2020-03-16,33.630001068115234
2020-03-17,35.650001525878906
2020-03-18,36.880001068115234
2020-03-19,38.439998626708984
2020-03-20,37.15999984741211
2020-03-23,36.5099983215332
2020-03-24,39.349998474121094
2020-03-25,41.34000015258789
2020-03-26,44.349998474121094
2020-03-27,41.849998474121094
2020-03-30,41.900001525878906
2020-03-31,41.16999816894531
2020-04-01,37.349998474121094
2020-04-02,37.779998779296875
2020-04-03,37.04999923706055
2020-04-06,42.2400016784668
2020-04-07,43.52000045776367
2020-04-08,44.540000915527344
2020-04-09,43.31999969482422
2020-04-13,44.65999984741211
2020-04-14,46.25
2020-04-15,43.619998931884766
2020-04-16,43.400001525878906
2020-04-17,47.130001068115234
2020-04-20,49.36000061035156
2020-04-21,46.38999938964844
2020-04-22,46.83000183105469
2020-04-23,45.470001220703125
2020-04-24,48.02000045776367
2020-04-27,48.400001525878906
2020-04-28,56.20000076293945
2020-04-29,57.63999938964844
2020-04-30,57.97999954223633
2020-05-01,52.369998931884766
2020-05-04,56.2599983215332
2020-05-05,57.150001525878906
2020-05-06,55.290000915527344
2020-05-07,55.099998474121094
2020-05-08,54.709999084472656
2020-05-11,55.5
2020-05-12,51.7400016784668
2020-05-13,48.439998626708984
2020-05-14,48.470001220703125
2020-05-15,51.7400016784668
2020-05-18,55.27000045776367
2020-05-19,56.45000076293945
2020-05-20,57.970001220703125
2020-05-21,59.68000030517578
2020-05-22,59.22999954223633
2020-05-26,58.77000045776367
2020-05-27,58.63999938964844
2020-05-28,57.0
2020-05-29,58.56999969482422
2020-06-01,60.70000076293945
2020-06-02,59.31999969482422
2020-06-03,56.790000915527344
2020-06-04,53.689998626708984
2020-06-05,55.189998626708984
2020-06-08,55.939998626708984
2020-06-09,56.29999923706055
2020-06-10,56.459999084472656
2020-06-11,52.54999923706055
2020-06-12,54.2400016784668
2020-06-15,58.63999938964844
2020-06-16,59.5
2020-06-17,61.84000015258789
2020-06-18,60.209999084472656
2020-06-19,62.720001220703125
2020-06-22,65.02999877929688
2020-06-23,64.22000122070312
2020-06-24,63.63999938964844
2020-06-25,62.16999816894531
2020-06-26,57.13999938964844
2020-06-29,58.529998779296875
2020-06-30,59.720001220703125
2020-07-01,58.15999984741211
2020-07-02,56.709999084472656
2020-07-06,55.06999969482422
2020-07-07,54.900001525878906
2020-07-08,56.79999923706055
2020-07-09,54.72999954223633
2020-07-10,54.2400016784668
2020-07-13,52.22999954223633
2020-07-14,52.459999084472656
2020-07-15,53.40999984741211
2020-07-16,53.31999969482422
2020-07-17,51.880001068115234
2020-07-20,52.9900016784668
2020-07-21,49.88999938964844
2020-07-22,49.650001525878906
2020-07-23,48.86000061035156
2020-07-24,47.75
2020-07-27,49.2400016784668
2020-07-28,46.86000061035156
2020-07-29,46.06999969482422
2020-07-30,46.790000915527344
2020-07-31,46.369998931884766
2020-08-03,49.459999084472656
2020-08-04,48.529998779296875
2020-08-05,48.400001525878906
2020-08-06,47.900001525878906
2020-08-07,48.90999984741211
2020-08-10,47.880001068115234
2020-08-11,46.81999969482422
2020-08-12,46.900001525878906
2020-08-13,47.25
2020-08-14,45.27000045776367
2020-08-17,46.34000015258789
2020-08-18,44.61000061035156
2020-08-19,44.029998779296875
2020-08-20,44.0099983215332
2020-08-21,43.79999923706055
2020-08-24,43.95000076293945
2020-08-25,45.34000015258789
2020-08-26,44.630001068115234
2020-08-27,44.5099983215332
2020-08-28,44.7400016784668
2020-08-31,45.0099983215332
2020-09-01,45.36000061035156
2020-09-02,45.84000015258789
2020-09-03,44.220001220703125
2020-09-04,45.59000015258789
2020-09-08,46.040000915527344
2020-09-09,46.81999969482422
2020-09-10,44.18000030517578
2020-09-11,44.869998931884766
2020-09-14,50.060001373291016
2020-09-15,51.4900016784668
2020-09-16,51.650001525878906
2020-09-17,52.56999969482422
2020-09-18,56.06999969482422
