Date,Adj Close
2020-01-02,31.850000381469727
2020-01-03,31.639999389648438
2020-01-06,31.690000534057617
2020-01-07,31.844999313354492
2020-01-08,31.90999984741211
2020-01-09,32.125
2020-01-10,32.66999816894531
2020-01-13,32.76499938964844
2020-01-14,32.790000915527344
2020-01-15,32.939998626708984
2020-01-16,33.54999923706055
2020-01-17,33.654998779296875
2020-01-21,33.40999984741211
2020-01-22,33.744998931884766
2020-01-23,33.8849983215332
2020-01-24,33.54999923706055
2020-01-27,33.29999923706055
2020-01-28,33.439998626708984
2020-01-29,33.275001525878906
2020-01-30,33.505001068115234
2020-01-31,33.29999923706055
2020-02-03,33.709999084472656
2020-02-04,34.439998626708984
2020-02-05,34.474998474121094
2020-02-06,34.724998474121094
2020-02-07,34.45500183105469
2020-02-10,34.584999084472656
2020-02-11,34.57500076293945
2020-02-12,34.625
2020-02-13,34.845001220703125
2020-02-14,34.93000030517578
2020-02-18,34.79999923706055
2020-02-19,35.040000915527344
2020-02-20,35.20000076293945
2020-02-21,34.869998931884766
2020-02-24,34.095001220703125
2020-02-25,33.310001373291016
2020-02-26,32.939998626708984
2020-02-27,31.8700008392334
2020-02-28,31.204999923706055
2020-03-02,32.3849983215332
2020-03-03,31.889999389648438
2020-03-04,34.025001525878906
2020-03-05,33.564998626708984
2020-03-06,33.095001220703125
2020-03-09,30.93000030517578
2020-03-10,33.064998626708984
2020-03-11,30.905000686645508
2020-03-12,28.69499969482422
2020-03-13,31.19499969482422
2020-03-16,28.719999313354492
2020-03-17,29.8700008392334
2020-03-18,27.94499969482422
2020-03-19,27.15999984741211
2020-03-20,26.049999237060547
2020-03-23,25.485000610351562
2020-03-24,26.864999771118164
2020-03-25,26.829999923706055
2020-03-26,28.920000076293945
2020-03-27,28.19499969482422
2020-03-30,29.0
2020-03-31,28.1299991607666
2020-04-01,26.549999237060547
2020-04-02,27.530000686645508
2020-04-03,27.110000610351562
2020-04-06,29.03499984741211
2020-04-07,29.204999923706055
2020-04-08,30.1299991607666
2020-04-09,30.2549991607666
2020-04-13,29.764999389648438
2020-04-14,32.20500183105469
2020-04-15,31.145000457763672
2020-04-16,30.934999465942383
2020-04-17,31.094999313354492
2020-04-20,30.690000534057617
2020-04-21,29.520000457763672
2020-04-22,30.059999465942383
2020-04-23,29.815000534057617
2020-04-24,29.899999618530273
2020-04-27,30.260000228881836
2020-04-28,30.06999969482422
2020-04-29,31.06999969482422
2020-04-30,30.905000686645508
2020-05-01,29.760000228881836
2020-05-04,29.604999542236328
2020-05-05,30.325000762939453
2020-05-06,30.649999618530273
2020-05-07,31.045000076293945
2020-05-08,32.88999938964844
2020-05-11,33.20000076293945
2020-05-12,33.095001220703125
2020-05-13,32.584999084472656
2020-05-14,32.494998931884766
2020-05-15,33.005001068115234
2020-05-18,33.310001373291016
2020-05-19,33.57500076293945
2020-05-20,34.70500183105469
2020-05-21,34.18000030517578
2020-05-22,34.35499954223633
2020-05-26,34.505001068115234
2020-05-27,35.29999923706055
2020-05-28,35.435001373291016
2020-05-29,35.95500183105469
2020-06-01,36.29499816894531
2020-06-02,36.040000915527344
2020-06-03,36.255001068115234
2020-06-04,35.459999084472656
2020-06-05,36.1150016784668
2020-06-08,35.20000076293945
2020-06-09,35.21500015258789
2020-06-10,35.220001220703125
2020-06-11,33.900001525878906
2020-06-12,34.150001525878906
2020-06-15,34.400001525878906
2020-06-16,34.75
2020-06-17,34.77000045776367
2020-06-18,34.85499954223633
2020-06-19,35.040000915527344
2020-06-22,35.1349983215332
2020-06-23,35.09000015258789
2020-06-24,34.03499984741211
2020-06-25,34.529998779296875
2020-06-26,33.95000076293945
2020-06-29,34.55500030517578
2020-06-30,34.65999984741211
2020-07-01,34.51499938964844
