Date,Adj Close
2020-01-02,7.78000020980835
2020-01-03,7.599999904632568
2020-01-06,7.489999771118164
2020-01-07,7.449999809265137
2020-01-08,7.460000038146973
2020-01-09,7.400000095367432
2020-01-10,7.150000095367432
2020-01-13,7.409999847412109
2020-01-14,7.400000095367432
2020-01-15,7.420000076293945
2020-01-16,7.579999923706055
2020-01-17,7.650000095367432
2020-01-21,7.550000190734863
2020-01-22,7.460000038146973
2020-01-23,7.460000038146973
2020-01-24,7.449999809265137
2020-01-27,7.230000019073486
2020-01-28,7.400000095367432
2020-01-29,7.28000020980835
2020-01-30,7.25
2020-01-31,7.03000020980835
2020-02-03,7.349999904632568
2020-02-04,7.829999923706055
2020-02-05,9.100000381469727
2020-02-06,8.329999923706055
2020-02-07,8.069999694824219
2020-02-10,8.010000228881836
2020-02-11,8.399999618530273
2020-02-12,8.630000114440918
2020-02-13,8.699999809265137
2020-02-14,8.619999885559082
2020-02-18,8.420000076293945
2020-02-19,8.520000457763672
2020-02-20,8.65999984741211
2020-02-21,8.819999694824219
2020-02-24,8.460000038146973
2020-02-25,8.1899995803833
2020-02-26,7.920000076293945
2020-02-27,7.340000152587891
2020-02-28,7.460000038146973
2020-03-02,7.230000019073486
2020-03-03,6.920000076293945
2020-03-04,6.889999866485596
2020-03-05,6.320000171661377
2020-03-06,5.929999828338623
2020-03-09,5.110000133514404
2020-03-10,5.400000095367432
2020-03-11,4.809999942779541
2020-03-12,4.369999885559082
2020-03-13,5.099999904632568
2020-03-16,4.130000114440918
2020-03-17,3.5299999713897705
2020-03-18,3.200000047683716
2020-03-19,3.309999942779541
2020-03-20,3.1700000762939453
2020-03-23,3.2899999618530273
2020-03-24,3.1700000762939453
2020-03-25,3.5
2020-03-26,3.690000057220459
2020-03-27,3.4200000762939453
2020-03-30,3.2799999713897705
2020-03-31,3.25
2020-04-01,3.049999952316284
2020-04-02,3.1600000858306885
2020-04-03,2.9800000190734863
2020-04-06,3.2699999809265137
2020-04-07,3.309999942779541
2020-04-08,4.050000190734863
2020-04-09,4.610000133514404
2020-04-13,4.389999866485596
2020-04-14,4.199999809265137
2020-04-15,4.150000095367432
2020-04-16,3.740000009536743
2020-04-17,4.070000171661377
2020-04-20,3.930000066757202
2020-04-21,3.9800000190734863
2020-04-22,3.9800000190734863
2020-04-23,4.03000020980835
2020-04-24,4.03000020980835
2020-04-27,4.329999923706055
2020-04-28,4.369999885559082
2020-04-29,4.730000019073486
2020-04-30,4.630000114440918
2020-05-01,4.230000019073486
2020-05-04,4.130000114440918
2020-05-05,4.079999923706055
2020-05-06,4.010000228881836
2020-05-07,4.179999828338623
2020-05-08,4.199999809265137
2020-05-11,4.130000114440918
2020-05-12,3.990000009536743
2020-05-13,3.740000009536743
2020-05-14,3.5399999618530273
2020-05-15,3.5399999618530273
2020-05-18,3.690000057220459
2020-05-19,3.7899999618530273
